ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_depth_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
2129.544,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,4.93855875227877E-16,0.0536719367310811,-92.1794898129162,11.4554109573364,10,nan,nan,nan,11.4554109573364,-0.530314087867737,0.489246964454651,0,0,,,,
2129.596,da3_portrait_marker_red,red,nan,nan,237,133,nan,4.10769886036732E-16,0.010209714830167,-92.1794898129162,11.3874158859253,10,nan,nan,nan,11.3874158859253,1.16845607757568,0.561688005924225,0,0,,,,
2129.596,da3_portrait_marker_purple,purple,nan,nan,250,137,nan,4.10769886036732E-16,0.010209714830167,-92.1794898129162,11.4254970550537,10,nan,nan,nan,11.4254970550537,0.169179439544678,0.280334740877152,0,0,,,,
2129.596,da3_portrait_marker_green,green,nan,nan,245,124,nan,4.10769886036732E-16,0.010209714830167,-92.1794898129162,11.4101066589355,10,nan,nan,nan,11.4101066589355,0.568890154361725,1.28033185005188,0,0,,,,
2129.596,da3_portrait_marker_yellow,yellow,nan,nan,253,129,nan,4.10769886036732E-16,0.010209714830167,-92.1794898129162,11.4329872131348,10,nan,nan,nan,11.4329872131348,-0.0306761562824249,0.930336058139801,0,0,,,,
2129.596,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,4.10769886036732E-16,0.010209714830167,-92.1794898129162,11.4520826339722,10,nan,nan,nan,11.4520826339722,-0.530314445495606,0.480339407920837,0,0,,,,
2129.628,da3_portrait_marker_red,red,nan,nan,237,133,nan,3.66509261620028E-16,-0.0234695842084309,-92.1794898129162,11.3840475082397,10,nan,nan,nan,11.3840475082397,1.16845607757568,0.554829299449921,0,0,,,,
2129.628,da3_portrait_marker_purple,purple,nan,nan,250,137,nan,3.66509261620028E-16,-0.0234695842084309,-92.1794898129162,11.4219617843628,10,nan,nan,nan,11.4219617843628,0.169179499149323,0.273453712463379,0,0,,,,
2129.628,da3_portrait_marker_green,green,nan,nan,245,124,nan,3.66509261620028E-16,-0.0234695842084309,-92.1794898129162,11.4071598052979,10,nan,nan,nan,11.4071598052979,0.56889021396637,1.27345967292786,0,0,,,,
2129.628,da3_portrait_marker_yellow,yellow,nan,nan,253,129,nan,3.66509261620028E-16,-0.0234695842084309,-92.1794898129162,11.429835319519,10,nan,nan,nan,11.429835319519,-0.0306760966777802,0.923450529575348,0,0,,,,
2129.628,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,3.66509261620028E-16,-0.0234695842084309,-92.1794898129162,11.4486646652222,10,nan,nan,nan,11.4486646652222,-0.530314385890961,0.473442733287811,0,0,,,,
2129.662,da3_portrait_marker_red,red,nan,nan,237,133,nan,4.00675453878588E-16,-0.0421196130088317,-92.1794898129163,11.3805360794067,10,nan,nan,nan,11.3805360794067,1.16845631599426,0.551010489463806,0,0,,,,
2129.662,da3_portrait_marker_purple,purple,nan,nan,250,137,nan,4.00675453878588E-16,-0.0421196130088317,-92.1794898129163,11.4183597564697,10,nan,nan,nan,11.4183597564697,0.169179797172546,0.269622564315796,0,0,,,,
2129.662,da3_portrait_marker_green,green,nan,nan,245,124,nan,4.00675453878588E-16,-0.0421196130088317,-92.1794898129163,11.4038829803467,10,nan,nan,nan,11.4038829803467,0.568890511989594,1.26963341236115,0,0,,,,
2129.662,da3_portrait_marker_yellow,yellow,nan,nan,253,129,nan,4.00675453878588E-16,-0.0421196130088317,-92.1794898129163,11.4264430999756,10,nan,nan,nan,11.4264430999756,-0.0306757986545563,0.919616758823395,0,0,,,,
2129.662,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,4.00675453878588E-16,-0.0421196130088317,-92.1794898129163,11.4451274871826,10,nan,nan,nan,11.4451274871826,-0.530314087867737,0.469602882862091,0,0,,,,
2129.712,da3_portrait_marker_red,red,nan,nan,237,133,nan,5.99460031192129E-16,-0.0140356357418806,-92.1794898129162,11.3729038238525,10,nan,nan,nan,11.3729038238525,1.16845631599426,0.55659282207489,0,0,,,,
2129.712,da3_portrait_marker_purple,purple,nan,nan,250,137,nan,5.99460031192129E-16,-0.0140356357418806,-92.1794898129162,11.4108638763428,10,nan,nan,nan,11.4108638763428,0.169179707765579,0.275223523378372,0,0,,,,
2129.712,da3_portrait_marker_green,green,nan,nan,245,124,nan,5.99460031192129E-16,-0.0140356357418806,-92.1794898129162,11.3958969116211,10,nan,nan,nan,11.3958969116211,0.568890452384949,1.27522706985474,0,0,,,,
2129.712,da3_portrait_marker_yellow,yellow,nan,nan,253,129,nan,5.99460031192129E-16,-0.0140356357418806,-92.1794898129162,11.4186296463013,10,nan,nan,nan,11.4186296463013,-0.0306758880615234,0.925221621990204,0,0,,,,
