ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_raw_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
721.302,da3_marker_yellow,yellow,220.0717105263158,117.94931773879142,221,119,1.4020180316141675,-4.076746318827786e-255,-6.750339685329276e-236,-7.61738175912992e-05,3.2236721515655518,3.218672752380371,3.1093554496765137,2.167632402563095,2.0278122134768726,0.11431670188903809,1.0560397490024567,1.1958599380886792,0.0024178028106689453,3.2236721515655518,0.6981430053710938,0.48106926679611206,57,1
721.302,da3_marker_orange,orange,181.9125,127.94444444444444,183,129,1.515537456107309,-4.076746318827786e-255,-6.750339685329276e-236,-7.61738175912992e-05,3.2236709594726562,3.218672513961792,3.1190268993377686,2.172472963118553,2.032036268723262,0.1046440601348877,1.0511979963541034,1.1916346907493942,0.004835605621337891,3.2236709594726562,1.5381429195404053,0.2610693573951721,52,1
721.333,da3_marker_red,red,196.1880319148936,108.88888888888889,197,110,1.376175887183731,-5.142513638009457e-255,-6.4698792513390625e-236,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.094848394393921,2.1603716213941575,2.021494758864318,0.12882304191589355,1.063299814915657,1.2021766774454963,0.02176070213317871,3.2236714363098145,1.2181429862976074,0.6809321045875549,47,1
721.333,da3_marker_purple,purple,201.70053191489365,131.44444444444446,203,132,1.4132442391598858,-5.142513638009457e-255,-6.4698792513390625e-236,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.09726619720459,2.161581731700897,2.0225461026716642,0.1264054775238037,1.0620899430274964,1.2011255720567293,0.02176070213317871,3.2236716747283936,1.0981428623199463,0.18093210458755493,47,1
721.333,da3_marker_green,green,206.325,118.90070921985816,207,120,1.2899865190399766,-5.142513638009457e-255,-6.4698792513390625e-236,-7.61738175912992e-05,3.2236716747283936,3.218672513961792,3.087594747543335,2.156741171145439,2.0183443390874114,0.1360769271850586,1.0669305035829546,1.2053273356409822,0.024178504943847656,3.2236716747283936,0.9981429576873779,0.46093207597732544,47,1
721.333,da3_marker_cyan,cyan,161.04375,95.66666666666667,162,96,1.0126821681115599,-5.142513638009457e-255,-6.4698792513390625e-236,-7.61738175912992e-05,3.223670482635498,3.2186713218688965,3.099684000015259,2.162791842007637,2.0235980656630144,0.12398648262023926,1.0608786406278612,1.2000724169724837,0.02176070213317871,3.223670482635498,1.998142957687378,0.9809320569038391,52,1
721.333,da3_marker_yellow,yellow,219.81303191489363,118.22222222222223,221,119,1.4190953127489414,-5.142513638009457e-255,-6.4698792513390625e-236,-7.61738175912992e-05,3.2236721515655518,3.218672752380371,3.085176944732666,2.1555310608386993,2.017295472077139,0.13849520683288574,1.0681410907268525,1.2063766794884128,0.024178504943847656,3.2236721515655518,0.6981430053710938,0.4809320569038391,47,1
721.333,da3_marker_orange,orange,181.9125,127.94444444444444,183,129,1.515537456107309,-5.142513638009457e-255,-6.4698792513390625e-236,-7.61738175912992e-05,3.2236709594726562,3.218672513961792,3.09726619720459,2.161581731700897,2.0225461026716642,0.1264047622680664,1.062089227771759,1.201124856800992,0.02176070213317871,3.2236709594726562,1.5381429195404053,0.26093214750289917,52,1
721.376,da3_marker_red,red,196.1880319148936,108.88888888888889,197,110,1.376175887183731,-5.962334652764587e-255,-6.025231996121136e-236,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.1311161518096924,2.1785236339807508,2.037330243968759,0.09255528450012207,1.0451478023290637,1.1863411923410556,0.036267757415771484,3.2236714363098145,1.2181429862976074,0.6808162927627563,47,1
721.376,da3_marker_purple,purple,201.70053191489365,131.44444444444446,203,132,1.4132442391598858,-5.962334652764587e-255,-6.025231996121136e-236,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.1311161518096924,2.1785236339807508,2.037330243968759,0.09255552291870117,1.0451480407476428,1.1863414307596347,0.03384995460510254,3.2236716747283936,1.0981428623199463,0.18081629276275635,47,1
