map,iteration,drones,time
7,2,2,15.78
7,3,2,
7,4,2,16.34
7,5,2,18.94
7,6,2,15.23
7,7,2,25.28
7,8,2,17.85
7,9,2,17.65
7,10,2,15.06
7,11,2,16.5
7,12,2,17.4
7,13,2,18.46
7,14,2,17.3
7,15,2,17.76
7,16,2,17.75
7,17,2,17.43
7,18,2,16.82
7,19,2,10.95
7,20,2,9.56
7,21,2,14.85
7,22,2,16.27
7,23,2,7.34
7,24,2,7.18
7,25,2,25.75
7,26,2,6.52
7,27,2,7.58
7,28,2,6.67
7,29,2,6.55
7,30,2,6.78
7,1,3,5.65
7,2,3,4.17
7,3,3,6.04
7,4,3,4.9
7,5,3,4.29
7,6,3,4.33
7,7,3,5.04
7,8,3,4.37
7,9,3,4.75
7,10,3,4.34
7,11,3,4.44
7,12,3,4.52
7,13,3,5.01
7,14,3,4.83
7,15,3,4.77
7,16,3,4.3
7,17,3,4.54
7,18,3,4.59
7,19,3,4.46
7,20,3,4.85
7,21,3,4.59
7,22,3,4.52
7,23,3,4.36
7,24,3,4.86
7,25,3,4.37
7,26,3,4.83
7,27,3,4.18
7,28,3,4.52
7,29,3,4.34
7,30,3,4.83
8,1,1,13.12
8,2,1,13.11
8,3,1,12.69
8,4,1,13.15
8,5,1,13.03
8,6,1,13.35
8,7,1,12.95
8,8,1,13.15
8,9,1,12.85
8,10,1,12.79
8,11,1,13.58
8,12,1,13.03
8,13,1,13.08
8,14,1,12.95
8,15,1,12.99
8,16,1,12.98
8,17,1,13.71
8,18,1,13.35
8,19,1,12.7
8,20,1,12.8
8,21,1,12.92
8,22,1,13.03
8,23,1,13.37
8,24,1,12.86
8,25,1,12.87
8,26,1,12.92
8,27,1,13.47
8,28,1,13.04
8,29,1,13.18
8,30,1,12.79
8,1,2,6.65
8,2,2,6.69
8,3,2,6.29
8,4,2,6.93
8,5,2,6.53
8,6,2,6.63
8,7,2,6.88
8,8,2,6.42
8,9,2,6.32
8,10,2,6.18
8,11,2,7.13
8,12,2,7.43
8,13,2,6.51
8,14,2,6.67
8,15,2,6.55
8,16,2,6.53
8,17,2,6.43
8,18,2,6.42
8,19,2,6.75
8,20,2,6.64
8,21,2,6.67
8,22,2,7.0
8,23,2,6.7
8,24,2,6.44
8,25,2,7.04
8,26,2,7.13
8,27,2,6.26
8,28,2,6.33
8,29,2,7.07
8,30,2,6.7
8,1,3,4.48
8,2,3,4.59
8,3,3,4.65
8,4,3,5.08
8,5,3,4.81
8,6,3,4.53
8,7,3,4.43
8,8,3,6.6
8,9,3,4.43
8,10,3,4.78
8,11,3,4.73
8,12,3,4.84
8,13,3,4.35
8,14,3,4.44
8,15,3,4.73
8,16,3,4.49
8,17,3,4.47
8,18,3,4.74
8,19,3,4.7
8,20,3,4.43
8,21,3,5.0
8,22,3,4.6
8,23,3,4.51
8,24,3,4.45
8,25,3,4.46
8,26,3,4.32
8,27,3,4.76
8,28,3,4.77
8,29,3,4.51
8,30,3,4.28
9,1,1,
9,2,1,14.44
9,3,1,
9,4,1,
9,5,1,
9,6,1,14.42
9,7,1,
9,8,1,
9,9,1,14.91
9,10,1,16.66
9,11,1,
9,12,1,14.49
9,13,1,
9,14,1,14.67
9,15,1,14.91
9,16,1,14.65
9,17,1,14.69
9,18,1,14.48
9,19,1,14.65
9,20,1,14.36
9,21,1,14.5
9,22,1,14.9
9,23,1,14.42
9,24,1,14.96
9,25,1,14.66
9,26,1,14.45
9,27,1,14.73
9,28,1,14.79
9,29,1,14.78
9,30,1,14.47
9,1,2,7.69
9,2,2,7.99
9,3,2,7.73
9,4,2,8.34
9,5,2,8.1
9,6,2,7.3
9,7,2,7.88
9,8,2,8.66
9,9,2,7.83
9,10,2,8.59
9,11,2,7.13
9,12,2,7.7
9,13,2,6.93
9,14,2,7.74
9,15,2,7.28
9,16,2,8.04
9,17,2,7.36
9,18,2,8.29
9,19,2,8.09
9,20,2,7.8
9,21,2,7.92
9,22,2,8.3
9,23,2,7.99
9,24,2,7.55
9,25,2,7.75
9,26,2,7.6
9,27,2,7.79
9,28,2,8.15
9,29,2,7.29
9,30,2,7.41
9,1,3,5.28
9,2,3,6.19
9,3,3,5.18
9,4,3,5.72
9,5,3,5.71
9,6,3,5.09
9,7,3,5.16
9,8,3,5.53
9,9,3,5.42
9,10,3,5.6
9,11,3,5.33
9,12,3,4.94
9,13,3,5.64
9,14,3,5.41
9,15,3,4.83
9,16,3,4.81
9,17,3,5.18
9,18,3,5.81
9,19,3,5.01
9,20,3,9.0
9,21,3,5.6
9,22,3,5.59
9,23,3,5.54
9,24,3,6.45
9,25,3,5.49
9,26,3,22.75
9,27,3,5.6
9,28,3,5.04
9,29,3,5.26
9,30,3,4.92
